# Sensor Rue 16 Novembre شارع 16 نوفمبر, Rabat, Morocco (Citizen Science project sensor.community/90796)
# https://aqicn.org/station/@518986/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2025-10-05T00:00:00.000Z,0.85,20.92,3.03,1.67,5.47,3.486,566
2025-10-06T00:00:00.000Z,1.7,17.6,4,2.95,6.29,3.585,573
2025-10-07T00:00:00.000Z,2.9,10.23,5.57,4.59,6.78,1.546,556
2025-10-08T00:00:00.000Z,1.3,12.82,2.63,1.92,4.3,1.538,551
2025-10-09T00:00:00.000Z,0.56,5.55,1.38,1,2.29,0.998,562
2025-10-10T00:00:00.000Z,1.17,11.25,2.38,1.98,4.57,1.748,556
2025-10-11T00:00:00.000Z,1.85,17.75,6.88,3.17,8.93,3.188,566
2025-10-12T00:00:00.000Z,2.85,24.38,6.27,4.13,11.73,5.779,542
2025-10-13T00:00:00.000Z,2.92,18.45,7.78,5.15,10.48,3.529,571
2025-10-14T00:00:00.000Z,4.2,19.67,13.6,9.63,15.73,3.719,567
2025-10-15T00:00:00.000Z,10.38,36.4,17.63,15.68,21.67,5.232,554
2025-10-16T00:00:00.000Z,12.73,23.67,17.64,16.1,18.97,1.864,465
2025-10-17T00:00:00.000Z,5.5,32.04,13.95,10.16,17.52,4.757,561
2025-10-18T00:00:00.000Z,3.3,32.6,16.42,10.43,21.13,6.543,563
2025-10-19T00:00:00.000Z,3.17,35.6,8.65,6.39,11.57,5.245,548
2025-10-20T00:00:00.000Z,1.25,16.23,3.92,2.8,8.07,3.358,530
2025-10-21T00:00:00.000Z,0.3,4.2,1.3,0.9,1.85,0.668,566
2025-10-22T00:00:00.000Z,0.3,5.72,1.4,1,2.31,1.088,581
2025-10-23T00:00:00.000Z,1.52,44.15,3.47,2.7,4.76,2.246,573
2025-10-24T00:00:00.000Z,2.2,16.89,4.43,3.1,6.27,1.866,577
2025-10-25T00:00:00.000Z,1.9,24.77,9.43,6,12.75,5.203,591
2025-10-26T00:00:00.000Z,2.72,23.35,6.28,4.6,14.83,5.86,584
2025-10-27T00:00:00.000Z,1,7.45,3.05,2.27,4.28,1.255,571
2025-10-28T00:00:00.000Z,1.45,19.3,4.7,2.41,8.36,4.325,573
2025-10-29T00:00:00.000Z,2.27,18.3,5.45,4.3,7.43,2.927,582
2025-10-30T00:00:00.000Z,4.7,14.75,9.77,8.35,10.98,1.897,543
2025-10-31T00:00:00.000Z,3.67,12.65,6.9,5.85,8.65,1.791,567
2025-11-01T00:00:00.000Z,2.6,36.04,6.22,4.59,9.98,5.157,562
2025-11-02T00:00:00.000Z,0.8,8.9,3.9,2.44,5.51,2.172,572
2025-11-03T00:00:00.000Z,1.48,30.3,3.05,2.47,4.26,1.873,564
2025-11-04T00:00:00.000Z,1.08,12.9,3.83,2.47,7.55,2.786,562
2025-11-05T00:00:00.000Z,1.3,14.55,4.48,3.05,6.22,2.033,562
2025-11-06T00:00:00.000Z,0.8,13.13,3.18,2.1,4.68,2.357,582
2025-11-07T00:00:00.000Z,0.68,16.39,2.2,1.7,2.9,1.52,579
2025-11-08T00:00:00.000Z,0.5,6.9,1.83,1.3,3.28,1.481,575
2025-11-09T00:00:00.000Z,1.12,9.63,2.47,1.95,3.69,1.515,581
2025-11-10T00:00:00.000Z,1.08,11.88,3,2.33,4.71,2.131,573
2025-11-11T00:00:00.000Z,2.45,22.75,6.6,5.32,9.81,4.662,549
2025-11-12T00:00:00.000Z,3.25,32.72,10.16,7.68,11.92,3.901,568
2025-11-13T00:00:00.000Z,0.1,44.88,7.47,4.8,9.77,3.884,534
2025-11-14T00:00:00.000Z,0,37.88,2.27,0.5,3.4,2.873,567
2025-11-15T00:00:00.000Z,0.5,72.18,2.7,1.5,4.5,4.817,563
2025-11-16T00:00:00.000Z,1.27,15.7,3.78,2.9,4.84,1.672,500
